# id    length  x       y       z       rot_z   rot_y   rot_x
0       0.3     0.0     0.0     0       0       0       0
1       0.3     0.9     0.0     0       0       0       0
2       0.3     1.8     0.0     0       0       0       0
3       0.3     2.7     0.0     0       0       0       0
4       0.3     3.6     0.0     0       0       0       0
5       0.3     0.0     0.9     0       0       0       0
6       0.3     0.9     0.9     0       0       0       0
7       0.3     1.8     0.9     0       0       0       0
8       0.3     2.7     0.9     0       0       0       0
9       0.3     3.6     0.9     0       0       0       0
10      0.3     0.0     1.8     0       0       0       0
11      0.3     0.9     1.8     0       0       0       0
12      0.3     1.8     1.8     0       0       0       0
13      0.3     2.7     1.8     0       0       0       0
14      0.3     3.6     1.8     0       0       0       0
15      0.3     0.0     2.7     0       0       0       0
16      0.3     0.9     2.7     0       0       0       0
17      0.3     1.8     2.7     0       0       0       0
18      0.3     2.7     2.7     0       0       0       0
19      0.3     3.6     2.7     0       0       0       0
20      0.3     0.0     3.6     0       0       0       0
21      0.3     0.9     3.6     0       0       0       0
22      0.3     1.8     3.6     0       0       0       0
23      0.3     2.7     3.6     0       0       0       0
24      0.3     3.6     3.6     0       0       0       0
25      0.3     0.0     4.5     0       0       0       0
26      0.3     0.9     4.5     0       0       0       0
27      0.3     1.8     4.5     0       0       0       0
28      0.3     2.7     4.5     0       0       0       0
29      0.3     3.6     4.5     0       0       0       0
30      0.3     0.0     5.4     0       0       0       0
31      0.3     0.9     5.4     0       0       0       0
32      0.3     1.8     5.4     0       0       0       0
33      0.3     2.7     5.4     0       0       0       0
34      0.3     3.6     5.4     0       0       0       0
